model,case_id,label,TP,FP,FN,n_pred,n_gt
VoComni,Task602_ls_0005,1,9645,1057,5050,10702,14695
VoComni,Task602_ls_0006,1,11504,1672,3551,13176,15055
VoComni,Task602_ls_0007,1,7045,1125,2668,8170,9713
VoComni,Task602_ls_0008,1,18930,4012,6622,22942,25552
VoComni,Task602_ls_0009,1,13652,3231,2063,16883,15715
VoComni,Task602_ls_0010,1,15840,1366,3301,17206,19141
VoComni,Task602_ls_0011,1,15474,5436,1115,20910,16589
VoComni,Task602_ls_0012,1,12901,4388,4329,17289,17230
VoComni,Task602_ls_0013,1,8143,1174,2833,9317,10976
VoComni,Task602_ls_0014,1,10212,2633,6478,12845,16690
VoComni,Task602_ls_0015,1,11346,2291,1656,13637,13002
VoComni,Task602_ls_0016,1,15872,2466,6740,18338,22612
VoComni,Task602_ls_0017,1,16995,1130,6177,18125,23172
VoComni,Task602_ls_0018,1,6886,926,2745,7812,9631
VoComni,Task602_ls_0019,1,19660,3928,3937,23588,23597
VoComni,Task602_ls_0020,1,10752,1563,5592,12315,16344
VoComni,Task602_ls_0021,1,9661,430,4373,10091,14034
VoComni,Task602_ls_0022,1,17704,2569,5363,20273,23067
VoComni,Task602_ls_0023,1,9363,823,13410,10186,22773
